# SFHo_cold_beta_1D.d converted to units with G=c=Msun=1
# 
# T = 0.1
# Ye at beta equilibrium 
# 
# 
# 
# 
#
# rho0=nB*mB           epsl=(rho-rho0)/rho0    P
#
5.8586823807820907e-08 2.9880821206664798e-03 6.9258930614700355e-11
6.0268758637088596e-08 3.0215326114770846e-03 7.1773886476473167e-11
6.1998979148802263e-08 3.0552620262553898e-03 7.4375867816390149e-11
6.3778871548353910e-08 3.0891669946633282e-03 7.7062844158664968e-11
6.5609861836894653e-08 3.1232213626690708e-03 7.9831997631186402e-11
6.7493416953807851e-08 3.1575166913981878e-03 8.2677987488619349e-11
6.9431045951981004e-08 3.1919638385675686e-03 8.5579903147032910e-11
7.1424301206817558e-08 3.2244782620010071e-03 8.6082399800812496e-11
7.3474779659957654e-08 3.2596878602513257e-03 8.9218984153960476e-11
7.5584124098704217e-08 3.2951532207585732e-03 9.2502704100107634e-11
7.7754024472179155e-08 3.3307868070975299e-03 9.5925796614719183e-11
7.9986219245264517e-08 3.3666623850607813e-03 9.9492605354666129e-11
8.2282496791412920e-08 3.4028564510233394e-03 1.0320476014753517e-10
8.4644696825443596e-08 3.4392590760494723e-03 1.0706119536319751e-10
8.7074711877471607e-08 3.4759150278493856e-03 1.1106606171744190e-10
8.9574488809151201e-08 3.5129322573312916e-03 1.1522626563357662e-10
9.2146030373448263e-08 3.5502102329945107e-03 1.1954394300686171e-10
9.4791396819191185e-08 3.5877303545843731e-03 1.2402361675249936e-10
9.7512707541685885e-08 3.6256175377500366e-03 1.2867420324182497e-10
1.0031214278071759e-07 3.6638183120052403e-03 1.3350011487604187e-10
1.0319194536729915e-07 3.7022533341684039e-03 1.3850511654359264e-10
1.0615442252056615e-07 3.7410412308378493e-03 1.4369895508356298e-10
1.0920194769625770e-07 3.7801922714739700e-03 1.4908864000064061e-10
1.1233696248826432e-07 3.8195829087395161e-03 1.5467728514755491e-10
1.1556197858476631e-07 3.8593013603693826e-03 1.6047462899797412e-10
1.1887957978052968e-07 3.8994185684166904e-03 1.6649031028828800e-10
1.2229242404697184e-07 3.9397981582089958e-03 1.7272752124316488e-10
1.2580324566165576e-07 3.9804766928051016e-03 1.7919519667006756e-10
1.2941485739891830e-07 4.0215687782065856e-03 1.8590531130653726e-10
1.3313015278338827e-07 4.0629617064829038e-03 1.9286223172562498e-10
1.3695210840819917e-07 4.1046270481652769e-03 2.0007331908753122e-10
1.4088378631975456e-07 4.1466982814493125e-03 2.0755219273609988e-10
1.4492833647095547e-07 4.1891173253660874e-03 2.1530557582052198e-10
1.4908899924485694e-07 4.2317902556741060e-03 2.2333871564066329e-10
1.5336910805077435e-07 4.2748420207865401e-03 2.3166566367171610e-10
1.5777209199491985e-07 4.3182840039985848e-03 2.4029614580465165e-10
1.6230147862770841e-07 4.3619742892817559e-03 2.4923334690255055e-10
1.6696089676993485e-07 4.4060017035896237e-03 2.5848959037063403e-10
1.7175407942008616e-07 4.4504414855928154e-03 2.6807647863802893e-10
1.7668486674511764e-07 4.4951373531540995e-03 2.7799591254408109e-10
1.8175720915708945e-07 4.5401152017299218e-03 2.8825405103780604e-10
1.8697517047812958e-07 4.5854886500320546e-03 2.9885692307105456e-10
1.9234293119625622e-07 4.6311244034600296e-03 3.0980327682202289e-10
1.9786479181467119e-07 4.6769582802461684e-03 3.2108162175719138e-10
2.0354517629720514e-07 4.7230712475248016e-03 3.3265383861925640e-10
2.0938863561267669e-07 4.7693211186465856e-03 3.4444908054347242e-10
2.1539985138100415e-07 4.8154388314900487e-03 3.5627011941752078e-10
2.2158363962399191e-07 4.8581063441925920e-03 3.5545884388631572e-10
2.2794495462379465e-07 4.9044482183966398e-03 3.6681613224169075e-10
2.3448889289215358e-07 4.9507892935121145e-03 3.7919646766711512e-10
2.4122069725358205e-07 4.9973100832250150e-03 3.9230884090905796e-10
2.4814576104577343e-07 5.0441388911337537e-03 4.0608174808640673e-10
2.5526963244059565e-07 5.0911428352580224e-03 4.2046335878767302e-10
2.6259801888913503e-07 5.1383797297501754e-03 4.3542639395390700e-10
2.7013679169435009e-07 5.1860049041945189e-03 4.5095897551411022e-10
2.7789199071499933e-07 5.2338988692068877e-03 4.6705668782983001e-10
2.8586982920461025e-07 5.2820254725760574e-03 4.8371265985236298e-10
2.9407669878936926e-07 5.3305467583093513e-03 5.0092733681359356e-10
3.0251917458891703e-07 5.3794101633415359e-03 5.1869929040454707e-10
3.1120402048415557e-07 5.4285033385812476e-03 5.3702106477101796e-10
3.2013819453628358e-07 5.4779545675303076e-03 5.5592572446406156e-10
3.2932885456140637e-07 5.5277623369489604e-03 5.7547454536175106e-10
3.3878336386518115e-07 5.5777652196846716e-03 5.9568012871881832e-10
3.4850929714209754e-07 5.6280661502030593e-03 6.1657439715797112e-10
3.5851444654411457e-07 5.6787690066015806e-03 6.3819147834277293e-10
3.6880682792352088e-07 5.7297069568424952e-03 6.6054606127019299e-10
3.7939468725501607e-07 5.7809145771541282e-03 6.8366927779097403e-10
3.9028650724216049e-07 5.8325460715211719e-03 7.0760386390226150e-10
4.0149101411348532e-07 5.8844736480176962e-03 7.3237109979162603e-10
4.1301718461370838e-07 5.9366490130365879e-03 7.5799943696098047e-10
4.2487425319565703e-07 5.9892436326851595e-03 7.8453811726538935e-10
4.3707171941865929e-07 6.0422044830195087e-03 8.1201848523193940e-10
4.4961935555933065e-07 6.0954089408844503e-03 8.4052970677178781e-10
4.6252721444085572e-07 6.1490088439575263e-03 8.7017870739430697e-10
4.7580563748703529e-07 6.2030282001497294e-03 9.0096212706516695e-10
4.8946526300755270e-07 6.2572797012530046e-03 9.3286294741580436e-10
5.0351703472109576e-07 6.3118596062179400e-03 9.6589796618877856e-10
5.1797221052316656e-07 6.3668725641403690e-03 1.0000855955777833e-09
5.3284237150559870e-07 6.4221248935480979e-03 1.0354045679144629e-09
5.4813943123501224e-07 6.4776315295576037e-03 1.0718465672596921e-09
5.6387564529763686e-07 6.5335398387054155e-03 1.1093991603553463e-09
5.8006362111815371e-07 6.5896865483487943e-03 1.1479732022003477e-09
5.9671632806041863e-07 6.6459708980370902e-03 1.1874032646395350e-09
6.1384710781816294e-07 6.7025023363773695e-03 1.2273232274610717e-09
6.3146968510399251e-07 6.7591669550086664e-03 1.2666537158749123e-09
6.4959817864525398e-07 6.8159513677248373e-03 1.3026325165326797e-09
6.6824711249557211e-07 6.8736268880325024e-03 1.3282959392557086e-09
6.8743142767112596e-07 6.9315808967420622e-03 1.3588252207858468e-09
7.0716649412098064e-07 6.9897627773893856e-03 1.3919574373452763e-09
7.2746812304107274e-07 7.0479165100703067e-03 1.4246184172714306e-09
7.4835257954170715e-07 7.1054143300592898e-03 1.4550950218123906e-09
7.6983659567871914e-07 7.1621946681568183e-03 1.4818362007636907e-09
7.9193738385874081e-07 7.2181189091082842e-03 1.5070710234870217e-09
